node_id;name;valid_dir;pk_rel;pk_abs;node_type;stop_slow;stop_fast;y;altitude
S_ME;S. Merano;both;0;31,483;signal_mainline;0;0;-0,01;301,5
T_ME;T. Merano;both;0;31,483;signal_mainline;0;0;0;301,5
ME;Merano;;0;31,483;LdS;1;1;0;301,5
km02000;km02000;;0,2;31,683;km;0;0;-0,01;301,5
Dev_ME_01;Deviatoio Merano 01;both;0,317;31,8;SC;0;0;0;302,79
Pa_ME;Part. Merano;malles;0,572;32,055;signal_mainline;0;0;0;307,71
SC_ME;SC LT ETCS Merano;merano;0,636;32,119;signal_mainline;0;0;0;308,94
Pr_ME_LT;Prot. Merano LT ETCS;merano;0,766;32,249;signal_mainline;0;0;0;311,45
Pr_E_LAG_01;Prot. Est. Lagundo 01;malles;1,247;32,73;signal_mainline;0;0;0;320,72
Pa_LAG_31;Part. Lagundo 31;merano;1,402;32,885;signal_mainline;0;0;0;323,71
LAG;Lagundo;;1,517;33;LdS;1;0;0;324
Pa_LAG_32;Part. Lagundo 32;malles;1,592;33,075;signal_mainline;0;0;0;324
Pr_E_LAG_02;Prot. Est. Lagundo 02;merano;1,742;33,225;signal_mainline;0;0;0;326,69
Pr_E_MAR_01;Prot. Est. Marlengo 01;malles;2,872;34,355;signal_mainline;0;0;0;350,98
Pr_I_MAR_91;Prot. Int. N3 Marlengo 91;malles;2,972;34,455;signal_mainline;0;0;0;353,13
PL04;PL04;;2,998;34,481;PL;0;0;0;353,69
Pa_E_MAR_81;Part. Est. Marlengo 81;merano;3,022;34,505;signal_mainline;0;0;0;354,2
Pr_I_MAR_71;Prot. Int. N2 Marlengo 71;malles;3,182;34,665;signal_mainline;0;0;0;357,64
PL05;PL05 Marlengo;;3,205;34,688;PL;0;0;0;358,13
Pa_I_MAR_61;Part. Int. N1 Marlengo 61;merano;3,226;34,709;signal_mainline;0;0;0;358,59
Pr_I_MAR_51;Prot. Int. N1 Marlengo 51;malles;3,285;34,768;signal_mainline;0;0;0;359,85
Dev_MAR_01;Deviatoio Marlengo 01;both;3,335;34,818;SC;0;0;0;360,93
Pa_I_MAR_31;Part. Int. N2 Marlengo 31;merano;3,413;34,896;signal_mainline;0;0;0;362,61
Pa_I_MAR_41;Part. Int. N2 Marlengo 41;merano;3,475;34,958;signal_side;0;0;0,01;363,94
MAR;Marlengo;;3,566;35,049;LdS;1;0;0;365,89
Pa_I_MAR_42;Part. Int. Marlengo 42;malles;3,647;35,13;signal_side;0;0;0,01;367,64
Pa_I_MAR_32;Part. Int. Marlengo 32;malles;3,647;35,13;signal_mainline;0;0;0;367,64
Dev_MAR_02;Deviatoio Marlengo 02;both;3,739;35,222;SC;0;0;0;369,61
PL06;PL06;;3,753;35,236;PL;0;0;0;369,91
Pr_I_MAR_52;Prot. Int. N1 Marlengo 52;merano;3,784;35,267;signal_mainline;0;0;0;370
Pa_E_MAR_62;Part. Est. Marlengo 62;malles;3,976;35,459;signal_mainline;0;0;0;370
PL06bis;PL06bis;;3,999;35,482;PL;0;0;0;370
Pr_I_MAR_72;Prot. Int. N2 Marlengo 72;merano;4,022;35,505;signal_mainline;0;0;0;370
Pr_E_MAR_02;Prot. Est. Marlengo 02;merano;4,126;35,609;signal_mainline;0;0;0;370
IG_MAR;Imbocco Galleria di Marlengo;;4,311;35,794;Tunnel;0;0;0;371,29
SG_MAR;Sbocco Galleria di Marlengo;;4,909;36,392;Tunnel;0;0;0;385,55
HD_201_02;HD 201/02;both;5,126;36,609;signal_mainline;0;0;0;390,73
HD_201_04;HD 201/04;both;6,126;37,609;signal_mainline;0;0;0;414,58
HD_201_06;HD 201/06;both;7,126;38,609;signal_mainline;0;0;0;438,43
IG_GIU;Imbocco Galleria Monte Giuseppe;;7,126;38,609;Tunnel;0;0;0;438,43
SG_GIU;Sbocco Galleria Monte Giuseppe;;8,107;39,59;Tunnel;0;0;0;461,82
HD_201_08;HD 201/08;both;8,126;39,609;signal_mainline;0;0;0;462,27
IG_ART;Imbocco Galleria artificiale;;8,169;39,652;Tunnel;0;0;0;463,3
SG_ART;Sbocco Galleria artificiale;;8,249;39,732;Tunnel;0;0;0;465,21
IG_TEL;Imbocco Galleria di Tel;;8,608;40,091;Tunnel;0;0;0;473,77
HD_201_10;HD 201/10;both;9,126;40,609;signal_mainline;0;0;0;486,12
SG_TEL;Sbocco Galleria di Tel;;9,292;40,775;Tunnel;0;0;0;490,08
Pr_E_TEL_01;Prot. Est. Tel 01;malles;9,743;41,226;signal_mainline;0;0;0;500,34
Pr_I_TEL_91;Prot. Int. N3 Tel 91;merano;9,865;41,348;signal_mainline;0;0;0;503,11
PL07;PL07;;9,898;41,381;PL;0;0;0;503,85
Pa_E_TEL_61;Part. Est. Tel 61;merano;9,913;41,396;signal_mainline;0;0;0;504,19
Pr_I_TEL_71;Prot. Int. N2 Tel 71;malles;10,074;41,557;signal_mainline;0;0;0;507,85
Dev_TEL_01;Deviatoio Tel 01;both;10,124;41,607;SC;0;0;0;508,98
Pa_I_TEL_31b;Part. Int. N1 Tel 31b;merano;10,2;41,683;signal_mainline;0;0;0;510,06
Pa_I_TEL_41b;Part. Int N1 Tel 41b;merano;10,212;41,695;signal_side;0;0;0,01;510,09
Pr_I_TEL_51;Prot. Int. N1 Tel 51;malles;10,303;41,786;signal_mainline;0;0;0;510,27
Pa_I_TEL_42a;Part. Int N1 Tel 42a;malles;10,327;41,81;signal_side;0;0;0,01;510,32
Pa_I_TEL_31a;Part. Int. N2 Tel 31a;merano;10,345;41,828;signal_mainline;0;0;0;510,35
Pa_I_TEL_41a;Part. Int N2 Tel 41a;merano;10,351;41,834;signal_side;0;0;0,01;510,36
TEL;Tel;;10,419;41,902;LdS;1;0;0;510,5
