edge_id;node_from;node_to;max_speed_dir_malles;max_speed_dir_merano;length;gradient;scenario;edge_type
ME-Dev_ME_01;ME;Dev_ME_01;30;60;0,317;4,07;base;straight
Dev_ME_01-Pa_ME;Dev_ME_01;Pa_ME;30;60;0,255;19,29;base;straight
Pa_ME-SC_ME;Pa_ME;SC_ME;60;60;0,064;19,22;base;straight
SC_ME-Pr_ME_LT;SC_ME;Pr_ME_LT;70;70;0,13;19,31;base;straight
Pr_ME_LT-Pr_E_LAG_01;Pr_ME_LT;Pr_E_LAG_01;70;70;0,481;19,27;base;straight
Pr_E_LAG_01-Pa_LAG_31;Pr_E_LAG_01;Pa_LAG_31;70;70;0,155;19,29;base;straight
Pa_LAG_31-LAG;Pa_LAG_31;LAG;70;70;0,115;2,52;base;straight
LAG-Pa_LAG_32;LAG;Pa_LAG_32;70;70;0,075;0;base;straight
Pa_LAG_32-Dev_LAG_02;Pa_LAG_32;Dev_LAG_02;70;70;0,05;0;base;straight
Dev_LAG_02-Pr_E_LAG_02;Dev_LAG_02;Pr_E_LAG_02;70;70;0,1;17,93;base;straight
Pr_E_LAG_02-Pr_E_MAR_01;Pr_E_LAG_02;Pr_E_MAR_01;70;70;1,13;21,5;base;straight
Pr_E_MAR_01-Pr_I_MAR_91;Pr_E_MAR_01;Pr_I_MAR_91;70;70;0,1;21,5;base;straight
Pr_I_MAR_91-PL04;Pr_I_MAR_91;PL04;70;70;0,026;21,54;base;straight
PL04-Pa_E_MAR_81;PL04;Pa_E_MAR_81;70;70;0,024;21,25;base;straight
Pa_E_MAR_81-Pr_I_MAR_71;Pa_E_MAR_81;Pr_I_MAR_71;70;70;0,16;21,5;base;straight
Pr_I_MAR_71-PL05;Pr_I_MAR_71;PL05;70;70;0,023;21,3;base;straight
PL05-Pa_I_MAR_61;PL05;Pa_I_MAR_61;70;70;0,021;21,9;base;straight
Pa_I_MAR_61-Pr_I_MAR_51;Pa_I_MAR_61;Pr_I_MAR_51;70;70;0,059;21,36;base;straight
Pr_I_MAR_51-Dev_MAR_01;Pr_I_MAR_51;Dev_MAR_01;70;70;0,05;21,6;base;straight
Dev_MAR_01-Pa_I_MAR_31;Dev_MAR_01;Pa_I_MAR_31;70;70;0,078;21,54;base;straight
Pa_I_MAR_31-MAR;Pa_I_MAR_31;MAR;70;70;0,153;21,44;base;straight
MAR-Pa_I_MAR_32;MAR;Pa_I_MAR_32;70;70;0,081;21,6;base;straight
